S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Sports Management,Youth Sports Administration 101,1hrs 15min,12th,English/Hindi,Module 1: Laying the Groundwork,Youth Sports Administration 101: Planning,https://www.youtube.com/watch?v=wipKQYVnXao
2,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 1: Laying the Groundwork,Youth Sports Administration 101: Budgeting,https://www.youtube.com/watch?v=prSQNwX9tno
3,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 1: Laying the Groundwork,Youth Sports Administration 101: Scheduling Your Programs,https://www.youtube.com/watch?v=SCyFykEplso
4,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 1: Laying the Groundwork,Youth Sports Administration 101: Communication,https://www.youtube.com/watch?v=iLV3BfgdnoI
5,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 2: Financial and Operational Management,Youth Sports Administration 101: Risk Management,https://www.youtube.com/watch?v=FkXmMGI_Zy4
6,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 2: Financial and Operational Management,Youth Sports Administration 101: Supervision,https://www.youtube.com/watch?v=HQHujRF-BLQ
7,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 2: Financial and Operational Management,Youth Sports Administration 101: League Rules and Policies,https://www.youtube.com/watch?v=9KiWcDoaNdQ
8,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 2: Financial and Operational Management,Youth Sports Administration 101: Complaints,https://www.youtube.com/watch?v=SG0ciEgysko
9,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 3: Communication and Community Engagement,Youth Sports Administration 101: Conflict Resolution,https://www.youtube.com/watch?v=j1QUfOAZRrw
10,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 3: Communication and Community Engagement,Youth Sports Administration 101: League Schedules,https://www.youtube.com/watch?v=S5bTCVEVlmg
11,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 3: Communication and Community Engagement,Youth Sports Administration 101: Staying Organized,https://www.youtube.com/watch?v=KxQtJDzNc-U
12,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 3: Communication and Community Engagement,Youth Sports Administration 101: Fundraising,https://www.youtube.com/watch?v=nlqaSQY4AJQ
13,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 4: Risk Management and Legal Considerations,Youth Sports Administration 101: League Documentation,https://www.youtube.com/watch?v=0Mo9OULwsKc
14,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 4: Risk Management and Legal Considerations,Youth Sports Administration 101: Training and Education,https://www.youtube.com/watch?v=1_hdoUXguZ8
15,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 4: Risk Management and Legal Considerations,Youth Sports Administration 101: Program Goals,https://www.youtube.com/watch?v=xYLnSOlLoGg
16,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 5: Program Enhancement and Sustainability,Youth Sports Administration 101: Preventative Maintenance,https://www.youtube.com/watch?v=lUmI9YUREOk
17,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 5: Program Enhancement and Sustainability,Youth Sports Administration 101: Marketing,https://www.youtube.com/watch?v=G2XPi4Nt3MQ
18,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 5: Program Enhancement and Sustainability,Youth Sports Administration 101: Volunteer Management,https://www.youtube.com/watch?v=U0FbHg77BmQ
19,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 5: Program Enhancement and Sustainability,Youth Sports Administration 101: Registration,https://www.youtube.com/watch?v=ncTAQBw1xik
20,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 5: Program Enhancement and Sustainability,Youth Sports Administration 101: Managing Referees,https://www.youtube.com/watch?v=jReMYBNLLA0
21,Sports Management,Youth Sports Administration 101,,12th,English/Hindi,Module 5: Program Enhancement and Sustainability,Youth Sports Administration 101: Coaches Meetings,https://www.youtube.com/watch?v=WiVQpeyBS0c
