S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Education,Financial Literacy,16hrs 5min,12th,English/Hindi,Module 1: Introduction to Financial Literacy,Introduction to Financial Literacy - Money Management for Teens!,https://www.youtube.com/watch?v=2Aosql_3vBY
2,Education,Financial Literacy,,12th,English/Hindi,Module 1: Introduction to Financial Literacy,Interest - Financial Literacy for Teens!,https://www.youtube.com/watch?v=BkwliVwClBE
3,Education,Financial Literacy,,12th,English/Hindi,Module 1: Introduction to Financial Literacy,Forms of Financial Exchange - Financial Literacy for Teens!,https://www.youtube.com/watch?v=7looujGJSZk
4,Education,Financial Literacy,,12th,English/Hindi,Module 1: Introduction to Financial Literacy,Introduction to Money Basics - Financial Literacy for Teens!,https://www.youtube.com/watch?v=GwAIu-RA_WA
5,Education,Financial Literacy,,12th,English/Hindi,Module 2: Money Management Basics,What is Money? - Financial Literacy for Teens!,https://www.youtube.com/watch?v=0gnlIMlznko
6,Education,Financial Literacy,,12th,English/Hindi,Module 2: Money Management Basics,Financial Institutions - Financial Literacy for Teens!,https://www.youtube.com/watch?v=Hh-beQj1OK4
7,Education,Financial Literacy,,12th,English/Hindi,Module 2: Money Management Basics,The 50-30-20 Rule - Finance for Teens!,https://www.youtube.com/watch?v=OZQQMYfaBT4
8,Education,Financial Literacy,,12th,English/Hindi,Module 2: Money Management Basics,Introduction to Budgeting - Finance for Teens!,https://www.youtube.com/watch?v=3HTa9FKSurs
9,Education,Financial Literacy,,12th,English/Hindi,Module 3: Budgeting and Financial Planning,Financial Statements - Finance for Teens!,https://www.youtube.com/watch?v=85FfwBxIjRk
10,Education,Financial Literacy,,12th,English/Hindi,Module 3: Budgeting and Financial Planning,Fixed and Variable Expenses - Finance for Teens!,https://www.youtube.com/watch?v=3_Q5g1kLOzY
11,Education,Financial Literacy,,12th,English/Hindi,Module 3: Budgeting and Financial Planning,Envelope Budgeting - Finance for Teens!,https://www.youtube.com/watch?v=WoiNmSK6aWo
12,Education,Financial Literacy,,12th,English/Hindi,Module 3: Budgeting and Financial Planning,Envelope Budgeting With Spreadsheets - Finance for Teens!,https://www.youtube.com/watch?v=ilmeVoil8FY
13,Education,Financial Literacy,,12th,English/Hindi,Module 3: Budgeting and Financial Planning,Parts of a Spreadsheet - Finance for Teens!,https://www.youtube.com/watch?v=1m-3lPqCNiQ
14,Education,Financial Literacy,,12th,English/Hindi,Module 3: Budgeting and Financial Planning,Formulas and Functions - Finance for Teens!,https://www.youtube.com/watch?v=0dSIYKN9BMo
15,Education,Financial Literacy,,12th,English/Hindi,Module 4: Earning Money,Useful Functions - Finance for Teens!,https://www.youtube.com/watch?v=S3S3JYci9cs
16,Education,Financial Literacy,,12th,English/Hindi,Module 4: Earning Money,Budgeting Apps - Finance for Teens!,https://www.youtube.com/watch?v=15UH1IuIdOY
17,Education,Financial Literacy,,12th,English/Hindi,Module 4: Earning Money,Active Streams of Income - Finance for Teens!,https://www.youtube.com/watch?v=czZhoRCasRk
18,Education,Financial Literacy,,12th,English/Hindi,Module 4: Earning Money,Passive Streams of Income - Finance for Teens!,https://www.youtube.com/watch?v=8Kn80ix5Cz4
19,Education,Financial Literacy,,12th,English/Hindi,Module 4: Earning Money,Forms of Compensation - Finance for Teens!,https://www.youtube.com/watch?v=NcX57ZjrRDA
20,Education,Financial Literacy,,12th,English/Hindi,Module 4: Earning Money,Types of Employment - Finance for Teens!,https://www.youtube.com/watch?v=yxtJgGDxVWc
21,Education,Financial Literacy,,12th,English/Hindi,Module 5: Taxation,Employee Benefits - Finance for Teens!,https://www.youtube.com/watch?v=W6Jx4hZmgOk
22,Education,Financial Literacy,,12th,English/Hindi,Module 5: Taxation,Total Compensation - Finance for Teens!,https://www.youtube.com/watch?v=9oeaH0hHgsU
23,Education,Financial Literacy,,12th,English/Hindi,Module 5: Taxation,Introduction to Earning Money - Finance for Teens!,https://www.youtube.com/watch?v=A1wbl8FuVKQ
24,Education,Financial Literacy,,12th,English/Hindi,Module 5: Taxation,Adapting to the Job Market - Finance for Teens!,https://www.youtube.com/watch?v=LWDkIYXDcJI
25,Education,Financial Literacy,,12th,English/Hindi,Module 5: Taxation,Earning Money Wrap-Up - Finance for Teens!,https://www.youtube.com/watch?v=gosfTSWQZoo
26,Education,Financial Literacy,,12th,English/Hindi,Module 5: Taxation,Intro to Taxation - Finance for Teens!,https://www.youtube.com/watch?v=byTzL8A1IzU
27,Education,Financial Literacy,,12th,English/Hindi,Module 5: Taxation,Purposes of Taxation - Finance for Teens!,https://www.youtube.com/watch?v=pyx5xUGTe80
28,Education,Financial Literacy,,12th,English/Hindi,Module 6: Saving and Investing,Taxable Income - Finance for Teens!,https://www.youtube.com/watch?v=s_U4a_npVoU
29,Education,Financial Literacy,,12th,English/Hindi,Module 6: Saving and Investing,Tax Systems - Finance for Teens!,https://www.youtube.com/watch?v=KzYMiL_nHEw
30,Education,Financial Literacy,,12th,English/Hindi,Module 6: Saving and Investing,Tax Brackets - Finance for Teens!,https://www.youtube.com/watch?v=QmgaOPO3C3M
31,Education,Financial Literacy,,12th,English/Hindi,Module 6: Saving and Investing,Payroll Deductions - Finance for Teens!,https://www.youtube.com/watch?v=zhzJRSOrWNM
32,Education,Financial Literacy,,12th,English/Hindi,Module 6: Saving and Investing,Tax Form Terminology - Finance for Teens!,https://www.youtube.com/watch?v=WGVM25Lu-j0
33,Education,Financial Literacy,,12th,English/Hindi,Module 6: Saving and Investing,Tax Filing Services - Finance for Teens!,https://www.youtube.com/watch?v=MkaLONlkpKw
34,Education,Financial Literacy,,12th,English/Hindi,Module 6: Saving and Investing,Taxation Wrap-Up - Finance for Teens!,https://www.youtube.com/watch?v=9SYAJBV9ZGA
35,Education,Financial Literacy,,12th,English/Hindi,Module 7: Retirement Planning,Time Value of Money - Finance for Teens!,https://www.youtube.com/watch?v=pTdGH5MY4i8
36,Education,Financial Literacy,,12th,English/Hindi,Module 7: Retirement Planning,Introduction to Saving and Investments - Finance for Teens!,https://www.youtube.com/watch?v=6TEHmaJBTkw
37,Education,Financial Literacy,,12th,English/Hindi,Module 7: Retirement Planning,Savings and Investments Wrap-Up - Finance for Teens!,https://www.youtube.com/watch?v=_oScI6QiNUQ
38,Education,Financial Literacy,,12th,English/Hindi,Module 7: Retirement Planning,Ways to Invest Pt 2 - Finance for Teens!,https://www.youtube.com/watch?v=hxBfYHTQxa8
39,Education,Financial Literacy,,12th,English/Hindi,Module 7: Retirement Planning,Ways to Invest Pt 1 - Finance for Teens!,https://www.youtube.com/watch?v=OiilSsV3_YI
40,Education,Financial Literacy,,12th,English/Hindi,Module 8: Credit and Borrowing,Ways to Save - Finance for Teens!,https://www.youtube.com/watch?v=MSN5WuxeTD4
41,Education,Financial Literacy,,12th,English/Hindi,Module 8: Credit and Borrowing,Social Security - Finance for Teens!,https://www.youtube.com/watch?v=Y0NThht-teI
42,Education,Financial Literacy,,12th,English/Hindi,Module 8: Credit and Borrowing,Introduction to Retirement Income - Finance for Teens!,https://www.youtube.com/watch?v=rxyxK6314QI
