Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
3077,Mechanical Engineering,Vibration Analysis for beginners,22hrs 22min,12th,English/Hindi,Module 1: Introduction to Vibration Analysis & Predictive Maintenance,Vibration Analysis for beginners 1 (Predictive Maintenance and vibration explanation. How it works?),https://www.youtube.com/watch?v=BPMjYJ_HoWk
3078,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 1: Introduction to Vibration Analysis & Predictive Maintenance,Vibration Analysis for beginners 2 (how to start your Predictive Maintenance),https://www.youtube.com/watch?v=QnHl1Le2OXA
3079,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 1: Introduction to Vibration Analysis & Predictive Maintenance,"Vibration Analysis for beginners 3 (vibration limits, types of measurements, acceleration sensor)",https://www.youtube.com/watch?v=4fDqII7ut6Y
3080,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 2: Setting Up Your Predictive Maintenance Program,"Vibration Analysis for beginners 4 (Vibration terms explanation, Route creation)",https://www.youtube.com/watch?v=qcHjDLCJxfI
3081,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 2: Setting Up Your Predictive Maintenance Program,"Vibration Analysis for beginners 5 (Rules for evaluating machine vibration, Signal path from sensor)",https://www.youtube.com/watch?v=HRjmPe0fncA
3082,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 3: Vibration Measurement and Analysis Techniques,How to become an expert in Vibration Analysis,https://www.youtube.com/watch?v=5022uOtWUag
3083,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 3: Vibration Measurement and Analysis Techniques,"On-Site Balancing Guide (balancing preparation, procedure, advices)",https://www.youtube.com/watch?v=N4dzW1wYPE4
3084,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 4: Advanced Vibration Analysis & Practical Applications,"Electric motors faults, analysis and predictive maintenance 1.",https://www.youtube.com/watch?v=ysZv3oo4A2w
3085,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 4: Advanced Vibration Analysis & Practical Applications,Combination of two vibration signals (sum of two signals),https://www.youtube.com/watch?v=Bk09BY7fmJY
3086,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 4: Advanced Vibration Analysis & Practical Applications,Vibration trend and vibration frequency analysis | Vojtech - field analysis guy,https://www.youtube.com/watch?v=GDJmVRgn_XY
3087,Mechanical Engineering,Vibration Analysis for beginners,,12th,English/Hindi,Module 4: Advanced Vibration Analysis & Practical Applications,My basic process of vibration data analysis | Vojtech - field analysis guy,https://www.youtube.com/watch?v=VbkDK4A-L08
